iter	Logloss
0	0.3250122613
1	0.2886057434
2	0.2813239678
3	0.2780535493
4	0.2766849725
5	0.2756821537
6	0.2750589671
7	0.2747753361
8	0.2745673561
9	0.2743228747
10	0.2741576267
11	0.2739324816
12	0.2737870364
13	0.2736297151
14	0.2734128292
15	0.2733524807
16	0.2732161749
17	0.2731168261
18	0.2730465937
19	0.2728826499
20	0.2728001559
21	0.2725872022
22	0.2725315187
23	0.2724058633
24	0.2722710046
25	0.272149988
26	0.2720150999
27	0.2719178702
28	0.271824098
29	0.2717140731
30	0.2715994067
31	0.2715091155
32	0.271400548
33	0.2713219932
34	0.2712364563
35	0.2711646842
36	0.2711516581
37	0.2710399528
38	0.2709644486
39	0.2708671696
40	0.270760878
41	0.2707111358
42	0.2706478607
43	0.2705722514
44	0.2705035118
45	0.2704174432
