iter	Passed	Remaining
0	328	32485
1	646	31697
2	991	32060
3	1329	31909
4	1690	32123
5	2012	31521
6	2358	31340
7	2658	30571
8	2967	30002
9	3286	29582
10	3603	29157
11	3932	28841
12	4275	28614
13	4624	28406
14	4924	27906
15	5247	27548
16	5587	27278
17	5910	26927
18	6252	26654
19	6549	26198
20	6899	25953
21	7261	25744
22	7583	25388
23	7884	24968
24	8220	24661
25	8533	24286
26	8838	23895
27	9165	23567
28	9480	23210
29	9807	22884
30	10136	22561
31	10493	22298
32	10786	21899
33	11095	21537
34	11445	21256
35	11766	20918
36	12107	20615
37	12405	20240
38	12699	19863
39	12967	19450
40	13264	19087
41	13585	18760
42	13875	18392
43	14189	18058
44	14490	17710
45	14841	17422
