iter	Passed	Remaining
0	545	108627
1	1133	112177
2	1675	109993
3	2331	114231
4	3427	133675
5	4114	133043
6	4715	130005
7	5310	127446
8	6040	128186
9	6649	126332
10	7232	124264
11	7929	124228
12	8499	122267
13	9049	120223
14	9537	117635
15	10160	116848
16	10747	115690
17	11350	114761
18	11908	113441
19	12517	112660
20	13042	111172
21	13759	111328
22	14378	110649
23	14956	109683
24	15649	109549
25	16238	108672
26	16901	108292
27	17434	107100
28	17962	105915
29	18537	105043
30	19448	106024
31	20134	105705
32	21094	106750
33	21758	106234
34	22378	105498
35	22998	104771
36	23576	103865
37	24198	103159
38	24707	101998
39	25102	100409
40	25626	99379
41	26201	98566
42	26813	97901
43	27364	97018
44	28039	96579
45	28570	95649
46	29151	94898
47	29729	94143
48	30349	93525
49	31017	93052
50	32137	93890
51	33062	94101
52	34143	94699
53	35409	95737
54	36590	96466
55	37766	97112
56	38448	96458
57	39362	96370
58	39856	95250
59	40579	94686
60	41165	93802
61	41734	92893
62	42319	92028
63	42789	90928
64	43254	89836
65	43763	88852
66	44274	87887
67	44823	87010
68	45353	86105
69	45871	85189
70	46373	84255
71	46874	83332
72	47406	82475
73	47695	81210
74	48161	80269
75	48688	79438
76	49141	78499
77	49781	77863
78	50402	77198
79	50934	76402
80	51447	75582
81	52024	74864
82	52506	74014
83	52987	73173
84	53815	72808
85	54683	72487
86	55309	71839
87	55803	71022
88	56248	70152
89	56736	69344
90	57267	68595
91	57874	67939
92	58496	67302
93	59317	66889
94	60015	66332
95	60684	65741
96	61199	64985
97	61662	64179
98	62145	63400
99	62996	62996
100	63567	62308
101	64416	61890
102	64948	61165
103	65454	60419
104	66004	59718
105	66533	59001
106	67106	58326
107	67696	57667
108	68542	57223
109	69271	56676
110	70303	56369
111	71319	56036
112	72071	55488
113	72774	54900
114	73400	54252
115	74981	54296
116	76573	54321
117	77200	53647
118	77613	52829
119	78156	52104
120	78629	51336
121	79271	50681
122	79773	49939
123	80236	49177
124	80778	48466
125	81279	47735
126	81796	47017
127	82282	46284
128	82762	45551
129	83239	44821
130	83739	44107
131	84269	43411
132	84835	42736
133	85304	42015
134	85840	41330
135	86368	40644
136	86916	39969
137	87430	39280
138	87944	38594
139	88423	37895
140	88927	37210
141	89375	36505
142	89865	35820
143	90379	35147
144	90860	34464
145	91346	33785
146	91811	33102
147	92357	32450
148	92872	31788
149	93333	31111
150	93849	30454
151	94375	29802
152	94836	29132
153	95341	28478
154	95837	27823
155	96331	27170
156	96843	26523
157	97338	25874
158	97816	25223
159	98337	24584
160	98846	23944
161	99354	23305
162	99828	22660
163	100337	22025
164	100813	21384
165	101333	20755
166	101842	20124
167	102363	19497
168	102863	18868
169	103312	18231
170	104041	17644
171	104497	17011
172	104984	16384
173	105492	15763
174	105970	15138
175	106502	14523
176	106988	13902
177	107475	13283
178	107978	12667
179	108469	12052
180	108951	11436
181	109438	10823
182	109942	10213
183	110585	9616
184	111174	9014
185	111671	8405
186	112135	7795
187	112631	7189
188	113124	6583
189	113695	5983
190	114170	5379
191	114712	4779
192	115176	4177
193	115744	3579
194	116229	2980
195	116741	2382
196	117231	1785
197	117691	1188
198	118173	593
199	118656	0
